Date,DO,Temp,ID,CO2,pH,SpC,min
2024-06-18T04:00:00Z,4,22.2,IU,NA,7.6,NA,0
2024-06-18T05:00:00Z,3.6,22,IU,NA,7.6,NA,0
2024-06-18T06:00:00Z,3.5,21.9,IU,NA,7.6,NA,0
2024-06-18T07:00:00Z,3.5,21.9,IU,NA,7.6,NA,0
2024-06-18T08:00:00Z,3.5,21.9,IU,NA,7.6,NA,0
2024-06-18T09:00:00Z,3.5,21.8,IU,NA,7.6,NA,0
2024-06-18T10:00:00Z,3.6,21.8,IU,NA,7.6,NA,0
2024-06-18T11:00:00Z,3.6,21.8,IU,NA,7.6,NA,0
2024-06-18T12:00:00Z,3.7,21.8,IU,NA,7.6,NA,0
2024-06-18T13:00:00Z,3.9,21.9,IU,NA,7.6,NA,0
2024-06-18T14:00:00Z,4.2,22,IU,NA,7.7,NA,0
2024-06-18T15:00:00Z,4.8,22.2,IU,NA,7.7,NA,0
2024-06-18T17:00:00Z,6.4,23,IU,NA,7.8,336,0
2024-06-18T18:00:00Z,7,23.4,IU,NA,7.9,335,0
2024-06-18T19:00:00Z,7.4,23.8,IU,NA,8,334,0
2024-06-18T20:00:00Z,7.6,24.1,IU,NA,8,334,0
2024-06-18T21:00:00Z,7.6,24.2,IU,NA,8,333,0
2024-06-18T22:00:00Z,7.4,24.2,IU,NA,8,333,0
2024-06-18T23:00:00Z,6.8,24,IU,NA,7.9,334,0
2024-06-19T00:00:00Z,6.2,23.6,IU,NA,7.9,335,0
2024-06-19T01:00:00Z,5.5,23.2,IU,NA,7.8,335,0
2024-06-19T02:00:00Z,4.9,22.8,IU,NA,7.7,336,0
2024-06-19T03:00:00Z,4.3,22.5,IU,NA,7.7,337,0
2024-06-19T04:00:00Z,3.9,22.3,IU,NA,7.6,337,0
2024-06-19T05:00:00Z,3.6,22.2,IU,NA,7.6,338,0
2024-06-19T06:00:00Z,3.5,22.1,IU,NA,7.6,338,0
2024-06-19T07:00:00Z,3.5,22.1,IU,NA,7.6,338,0
2024-06-19T08:00:00Z,3.6,22.1,IU,NA,7.6,338,0
2024-06-19T09:00:00Z,3.6,22,IU,NA,7.6,338,0
2024-06-19T10:00:00Z,3.6,22,IU,NA,7.6,338,0
2024-06-19T11:00:00Z,3.6,22,IU,NA,7.6,338,0
2024-06-19T12:00:00Z,3.7,22.1,IU,NA,7.6,337,0
2024-06-19T13:00:00Z,4,22.1,IU,NA,7.6,337,0
2024-06-19T14:00:00Z,4.4,22.2,IU,NA,7.7,337,0
2024-06-19T15:00:00Z,5,22.4,IU,NA,7.7,337,0
2024-06-19T16:00:00Z,5.9,22.8,IU,NA,7.8,336,0
2024-06-19T17:00:00Z,6.5,23,IU,NA,7.9,335,0
2024-06-19T18:00:00Z,6.9,23.2,IU,NA,7.9,334,0
2024-06-19T19:00:00Z,7.3,23.7,IU,NA,8,334,0
2024-06-19T20:00:00Z,7.6,23.9,IU,NA,8,333,0
2024-06-19T21:00:00Z,7.6,23.9,IU,NA,8,333,0
2024-06-19T22:00:00Z,7.4,23.9,IU,NA,8,333,0
2024-06-19T23:00:00Z,6.8,23.8,IU,NA,7.9,334,0
2024-06-20T00:00:00Z,6.2,23.5,IU,NA,7.9,334,0
2024-06-20T01:00:00Z,5.5,23,IU,NA,7.8,335,0
2024-06-20T02:00:00Z,4.9,22.6,IU,NA,7.8,336,0
2024-06-20T03:00:00Z,4.5,22.4,IU,NA,7.7,337,0
2024-06-20T04:00:00Z,4,22.2,IU,NA,7.7,337,0
2024-06-20T05:00:00Z,3.7,22,IU,NA,7.6,351,0
2024-06-20T06:00:00Z,3.6,22,IU,NA,7.6,NA,0
2024-06-20T07:00:00Z,3.6,21.9,IU,NA,7.6,NA,0
2024-06-20T08:00:00Z,3.6,22,IU,NA,7.6,NA,0
2024-06-20T09:00:00Z,3.6,22,IU,NA,7.6,NA,0
2024-06-20T10:00:00Z,3.6,22,IU,NA,7.6,NA,0
2024-06-20T11:00:00Z,3.6,22,IU,NA,7.6,NA,0
2024-06-20T12:00:00Z,3.8,22,IU,NA,7.6,NA,0
2024-06-20T13:00:00Z,3.9,22.1,IU,NA,7.6,NA,0
2024-06-20T14:00:00Z,4.4,22.2,IU,NA,7.7,NA,0
2024-06-20T15:00:00Z,5,22.4,IU,NA,7.7,NA,0
2024-06-20T16:00:00Z,5.8,22.7,IU,NA,7.8,NA,0
2024-06-20T17:00:00Z,6.5,23.1,IU,NA,7.9,NA,0
2024-06-20T18:00:00Z,7.1,23.4,IU,NA,7.9,NA,0
2024-06-20T19:00:00Z,7.4,23.8,IU,NA,8,NA,0
2024-06-20T20:00:00Z,7.6,24,IU,NA,8,NA,0
2024-06-20T21:00:00Z,7.4,24,IU,NA,8,NA,0
2024-06-20T22:00:00Z,7.1,23.9,IU,NA,8,NA,0
2024-06-20T23:00:00Z,6.6,23.7,IU,NA,7.9,NA,0
2024-06-21T00:00:00Z,6.1,23.5,IU,NA,7.9,NA,0
2024-06-21T01:00:00Z,5.4,23.1,IU,NA,7.8,NA,0
2024-06-21T02:00:00Z,4.9,22.7,IU,NA,7.7,NA,0
2024-06-21T03:00:00Z,4.4,22.3,IU,NA,7.7,NA,0
2024-06-21T04:00:00Z,4,22.1,IU,NA,7.7,NA,0
2024-06-21T05:00:00Z,3.7,22,IU,NA,7.6,NA,0
2024-06-21T06:00:00Z,3.7,21.9,IU,NA,7.6,NA,0
2024-06-21T07:00:00Z,3.7,21.9,IU,NA,7.6,NA,0
2024-06-21T08:00:00Z,3.7,21.8,IU,NA,7.6,NA,0
2024-06-21T09:00:00Z,3.7,21.8,IU,NA,7.6,NA,0
2024-06-21T11:00:00Z,3.8,21.7,IU,NA,7.6,NA,0
2024-06-21T12:00:00Z,3.8,21.7,IU,NA,7.6,NA,0
2024-06-21T13:00:00Z,4,21.8,IU,NA,7.6,NA,0
2024-06-21T14:00:00Z,4.5,22,IU,NA,7.7,NA,0
2024-06-21T15:00:00Z,5.1,22.2,IU,NA,7.7,NA,0
2024-06-21T16:00:00Z,5.7,22.5,IU,NA,7.8,NA,0
2024-06-21T17:00:00Z,6.3,22.8,IU,NA,7.8,NA,0
2024-06-21T18:00:00Z,7,23.3,IU,NA,7.9,NA,0
2024-06-21T19:00:00Z,7.5,23.6,IU,NA,8,NA,0
2024-06-21T20:00:00Z,7.7,23.9,IU,NA,8,NA,0
2024-06-21T21:00:00Z,7.7,24.1,IU,NA,8,NA,0
2024-06-21T22:00:00Z,7.3,24.1,IU,NA,8,NA,0
2024-06-21T23:00:00Z,6.7,23.9,IU,NA,7.9,NA,0
2024-06-22T00:00:00Z,6.1,23.6,IU,NA,7.9,NA,0
2024-06-22T01:00:00Z,5.4,23.2,IU,NA,7.8,NA,0
2024-06-22T02:00:00Z,4.8,22.8,IU,NA,7.7,NA,0
2024-06-22T03:00:00Z,4.3,22.5,IU,NA,7.6,NA,0
2024-06-22T04:00:00Z,3.9,22.3,IU,NA,7.6,NA,0
2024-06-22T05:00:00Z,3.6,22.2,IU,NA,7.6,NA,0
2024-06-22T06:00:00Z,3.6,22.1,IU,NA,7.5,NA,0
2024-06-22T07:00:00Z,3.6,22.1,IU,NA,7.6,NA,0
2024-06-22T08:00:00Z,3.6,22,IU,NA,7.6,NA,0
2024-06-22T09:00:00Z,3.6,22,IU,NA,7.6,NA,0
2024-06-22T10:00:00Z,3.6,22,IU,NA,7.6,NA,0
2024-06-22T11:00:00Z,3.6,22,IU,NA,7.6,NA,0
2024-06-22T12:00:00Z,3.7,22,IU,NA,7.6,NA,0
2024-06-22T13:00:00Z,3.9,22,IU,NA,7.6,NA,0
2024-06-22T14:00:00Z,4.3,22.2,IU,NA,7.6,NA,0
2024-06-22T15:00:00Z,5,22.5,IU,NA,7.7,NA,0
2024-06-22T16:00:00Z,5.6,22.9,IU,NA,7.8,NA,0
2024-06-22T17:00:00Z,6.4,23.4,IU,NA,7.8,NA,0
2024-06-22T18:00:00Z,6.9,23.9,IU,NA,7.9,NA,0
2024-06-22T19:00:00Z,7.1,24.2,IU,NA,7.9,NA,0
2024-06-22T20:00:00Z,7.2,24.4,IU,NA,7.9,NA,0
2024-06-22T21:00:00Z,7.5,24.6,IU,NA,8,NA,0
2024-06-22T22:00:00Z,7.2,24.3,IU,NA,7.9,NA,0
2024-06-22T23:00:00Z,6.6,23.9,IU,NA,7.9,NA,0
2024-06-23T00:00:00Z,5.9,23.5,IU,NA,7.8,NA,0
2024-06-23T01:00:00Z,5.2,23,IU,NA,7.7,NA,0
2024-06-23T02:00:00Z,4.6,22.7,IU,NA,7.7,NA,0
2024-06-23T03:00:00Z,4.2,22.5,IU,NA,7.6,NA,0
2024-06-23T04:00:00Z,3.8,22.3,IU,NA,7.6,NA,0
2024-06-23T05:00:00Z,3.6,22.2,IU,NA,7.6,NA,0
2024-06-23T06:00:00Z,3.6,22.1,IU,NA,7.6,NA,0
2024-06-23T07:00:00Z,3.6,22,IU,NA,7.6,NA,0
2024-06-23T08:00:00Z,3.6,22,IU,NA,7.6,NA,0
2024-06-23T09:00:00Z,3.6,22,IU,NA,7.6,NA,0
2024-06-23T10:00:00Z,3.7,22,IU,NA,7.6,NA,0
2024-06-23T11:00:00Z,3.7,22,IU,NA,7.6,NA,0
2024-06-23T12:00:00Z,3.8,22,IU,NA,7.6,NA,0
2024-06-23T13:00:00Z,3.9,22,IU,NA,7.6,NA,0
2024-06-23T14:00:00Z,4.3,22.1,IU,NA,7.6,NA,0
2024-06-23T15:00:00Z,4.9,22.4,IU,NA,7.7,NA,0
2024-06-23T16:00:00Z,5.6,22.8,IU,NA,7.8,NA,0
2024-06-23T17:00:00Z,6.3,23.3,IU,NA,7.8,NA,0
2024-06-23T18:00:00Z,6.8,23.8,IU,NA,7.9,NA,0
2024-06-23T19:00:00Z,7.2,24.3,IU,NA,7.9,NA,0
2024-06-23T20:00:00Z,7.3,24.5,IU,NA,8,NA,0
2024-06-23T21:00:00Z,6.9,24.2,IU,NA,7.9,NA,0
2024-06-23T22:00:00Z,6.5,24.1,IU,NA,7.9,NA,0
2024-06-23T23:00:00Z,6.2,23.7,IU,NA,7.8,NA,0
2024-06-24T00:00:00Z,5.4,23.1,IU,NA,7.8,NA,0
2024-06-24T01:00:00Z,5,22.8,IU,NA,7.7,NA,0
2024-06-24T02:00:00Z,4.8,22.6,IU,NA,7.7,NA,0
2024-06-24T03:00:00Z,4.3,22.4,IU,NA,7.7,NA,0
2024-06-24T04:00:00Z,3.9,22.2,IU,NA,7.6,NA,0
2024-06-24T05:00:00Z,3.7,22.1,IU,NA,7.6,NA,0
2024-06-24T06:00:00Z,3.6,22,IU,NA,7.6,NA,0
2024-06-24T07:00:00Z,3.7,22,IU,NA,7.6,NA,0
2024-06-24T08:00:00Z,3.7,22,IU,NA,7.6,NA,0
2024-06-24T09:00:00Z,3.7,22,IU,NA,7.6,NA,0
2024-06-24T10:00:00Z,3.7,22,IU,NA,7.6,NA,0
2024-06-24T11:00:00Z,3.7,22,IU,NA,7.6,NA,0
2024-06-24T12:00:00Z,3.8,22,IU,NA,7.6,NA,0
2024-06-24T13:00:00Z,4,22,IU,NA,7.6,NA,0
2024-06-24T14:00:00Z,4.3,22.2,IU,NA,7.6,NA,0
2024-06-24T15:00:00Z,5,22.4,IU,NA,7.7,NA,0
2024-06-24T16:00:00Z,5.7,22.8,IU,NA,7.8,NA,0
2024-06-24T17:00:00Z,8.4,24.6,IU,NA,8.2,NA,0
2024-06-24T18:00:00Z,7.1,23.8,IU,NA,8,332,0
2024-06-24T19:00:00Z,7.4,24.2,IU,NA,8,331,0
2024-06-24T20:00:00Z,7.6,24.5,IU,NA,8,330,0
2024-06-24T21:00:00Z,7.4,24.5,IU,NA,8,330,0
2024-06-24T22:00:00Z,7,24.3,IU,NA,8,331,0
2024-06-24T23:00:00Z,6.5,24,IU,NA,7.9,331,0
2024-06-25T00:00:00Z,5.9,23.5,IU,NA,7.9,332,0
2024-06-25T01:00:00Z,5.3,23.1,IU,NA,7.8,333,0
2024-06-25T02:00:00Z,4.6,22.7,IU,NA,7.8,333,0
2024-06-25T03:00:00Z,3.9,22.4,IU,NA,7.7,334,0
2024-06-25T04:00:00Z,3.6,22.2,IU,NA,7.7,335,0
2024-06-25T05:00:00Z,3.5,22.1,IU,NA,7.7,335,0
2024-06-25T06:00:00Z,3.5,22.1,IU,NA,7.7,335,0
2024-06-25T07:00:00Z,3.5,22,IU,NA,7.7,335,0
2024-06-25T08:00:00Z,3.5,22,IU,NA,7.7,335,0
2024-06-25T09:00:00Z,3.5,22,IU,NA,7.7,335,0
2024-06-25T10:00:00Z,3.6,22,IU,NA,7.7,334,0
2024-06-25T11:00:00Z,3.6,21.9,IU,NA,7.7,334,0
2024-06-25T12:00:00Z,3.6,21.9,IU,NA,7.7,334,0
2024-06-25T13:00:00Z,3.8,22,IU,NA,7.7,334,0
2024-06-25T14:00:00Z,4.2,22.1,IU,NA,7.7,334,0
2024-06-25T15:00:00Z,4.9,22.4,IU,NA,7.8,334,0
2024-06-25T16:00:00Z,5.7,22.8,IU,NA,7.8,333,0
2024-06-25T17:00:00Z,6.5,23.4,IU,NA,7.9,332,0
2024-06-25T18:00:00Z,7.1,23.9,IU,NA,8,331,0
2024-06-25T19:00:00Z,7.4,24.2,IU,NA,8,331,0
